Designator,Group,MEgA_ID,Comment,Tolerance,Voltage,Power,Footprint,Size,Manufacturer,Assembled,Dry,Fitted

"C1","Proud I1","51625","10n","C0G","50V","","Z0603","0603","","Neosadit","","Not Fitted"
"C2","Proud I1","51568","*47p","C0G","50V","","Z0603","0603","CL10C470JB8NNNC","Neosadit","","Not Fitted"
"C3","Proud I2","51568","*47p","C0G","50V","","Z0603","0603","CL10C470JB8NNNC","Neosadit","","Not Fitted"
"C4","Proud I2","51625","10n","C0G","50V","","Z0603","0603","","Neosadit","","Not Fitted"
"C5","Proud I3","51568","*47p","C0G","50V","","Z0603","0603","CL10C470JB8NNNC","Neosadit","","Not Fitted"
"C6","Proud I3","51625","10n","C0G","50V","","Z0603","0603","","Neosadit","","Not Fitted"
"C7","L6A - PLL","51674","10u","X5R","10V","","Z0603","0603","","Automat","","Fitted"
"C8","L6A - PLL","51636","1u0","X7R","16V","","Z0603","0603","","Automat","","Fitted"
"C9","L6A - PLL","51623","100n","X7R","50V","","Z0603","0603","","Automat","","Fitted"
"C10","Proud I1","51667","33n","X7R","50V","","Z0603","0603","","Automat","","Fitted"
"C11","Proud I1","51667","33n","X7R","50V","","Z0603","0603","","Automat","","Fitted"
"C12","DC 3V3","51674","10u","X5R","10V","","Z0603","0603","","Automat","","Fitted"
"C13","DC 3V3","51674","10u","X5R","10V","","Z0603","0603","","Automat","","Fitted"
"C14","MÏniË +5V/-5V","51674","10u","X5R","10V","","Z0603","0603","","Automat","","Fitted"
"C15","DC 3V3","51667","33n","X7R","50V","","Z0603","0603","","Automat","","Fitted"
"C16","MÏniË +5V/-5V","51667","33n","X7R","50V","","Z0603","0603","","Automat","","Fitted"
"C17","MÏniË +5V/-5V","51636","1u0","X7R","16V","","Z0603","0603","","Automat","","Fitted"
"C18","MÏniË +5V/-5V","51674","10u","X5R","10V","","Z0603","0603","","Automat","","Fitted"
"C19","MÏniË +5V/-5V","51674","10u","X5R","10V","","Z0603","0603","","Automat","","Fitted"
"C20","Proud I1","51568","*47p","C0G","50V","","Z0603","0603","CL10C470JB8NNNC","Neosadit","","Not Fitted"
"C21","Proud I1","51568","*47p","C0G","50V","","Z0603","0603","CL10C470JB8NNNC","Neosadit","","Not Fitted"
"C22","Proud I1","51568","*47p","C0G","50V","","Z0603","0603","CL10C470JB8NNNC","Neosadit","","Not Fitted"
"C23","L6A - PLL","51623","100n","X7R","50V","","Z0603","0603","","Automat","","Fitted"
"C24","Spojeni zemi","51625","10n","C0G","50V","","Z0603","0603","","Automat","","Fitted"
"D1","PamÏù","55686","11AA010T-I/TT","","","","ZSOT23A","SOT23","11AA010T-I/TT","Automat","","Fitted"
"L1","MÏniË +5V/-5V","56074","150uH","","","100mA  7R9","Z1210","1210","NLCV32T-151K-EF","Automat","","Fitted"
"L2","L6A - PLL","56029","BLM21PG221SN1D","","","2A 220R","Z0805","0805","","Automat","","Fitted"
"N1","DC 3V3","55875","TPS70933DBV","","3V3","150 mA","ZSOT23_5","SOT23-5","","Automat","","Fitted"
"N2","Proud I2","55657.02","OPA4991IPWR","","5...26V/2.7V...40V","","ZTSSOP14","TSSOP14","OPA4991IPWR","Automat","","Fitted"
"N3","MÏniË +5V/-5V","58108","LM2776DBVT","","2V7...+5V","200mA","ZSOT23_6","SOT23-6","LM2776DBVT","Automat","","Fitted"
"R1","Proud I1","50678","0R0","1%","75V","0.0625W","Z0603","0603","","Automat","","Fitted"
"R2","Proud I1","50932","13R","0.1% ±25ppm","75V","","Z0603","0603","CPF0603B13RE1","Automat","","Fitted"
"R3","Proud I1","50678","*0R0","1%","75V","0.0625W max. 2A","Z0603","0603","","Neosadit","","Not Fitted"
"R4","Proud I1","50739","15k","1%","75V","","Z0603","0603","","Automat","","Fitted"
"R5","Proud I1","50721","1k2","1%","75V","0.0625W","Z0603","0603","","Automat","","Fitted"
"R6","Proud I1","50529","100R","1%","75V","0.0625W","Z0603","0603","","Automat","","Fitted"
"R7","Proud I2","50678","0R0","1%","75V","0.0625W","Z0603","0603","","Automat","","Fitted"
"R8","Proud I2","50932","13R","0.1% ±25ppm","75V","","Z0603","0603","CPF0603B13RE1","Automat","","Fitted"
"R9","Proud I2","50678","*0R0","1%","75V","0.0625W max. 2A","Z0603","0603","","Neosadit","","Not Fitted"
"R10","Proud I2","50739","15k","1%","75V","","Z0603","0603","","Automat","","Fitted"
"R11","Proud I2","50721","1k2","1%","75V","0.0625W","Z0603","0603","","Automat","","Fitted"
"R12","Proud I2","50529","100R","1%","75V","0.0625W","Z0603","0603","","Automat","","Fitted"
"R13","Proud I3","50678","0R0","1%","75V","0.0625W","Z0603","0603","","Automat","","Fitted"
"R14","Proud I3","50932","13R","0.1% ±25ppm","75V","","Z0603","0603","CPF0603B13RE1","Automat","","Fitted"
"R15","Proud I3","50678","*0R0","1%","75V","0.0625W max. 2A","Z0603","0603","","Neosadit","","Not Fitted"
"R16","Proud I3","50739","15k","1%","75V","","Z0603","0603","","Automat","","Fitted"
"R17","Proud I3","50721","1k2","1%","75V","0.0625W","Z0603","0603","","Automat","","Fitted"
"R18","Proud I3","50529","100R","1%","75V","0.0625W","Z0603","0603","","Automat","","Fitted"
"R19","Proud I1","50678","0R0","1%","75V","0.0625W max. 2A","Z0603","0603","","Automat","","Fitted"
"R20","PamÏù","50500","100K","1%","75V","0.0625W","Z0603","0603","","Automat","","Fitted"
"R21","MÏniË +5V/-5V","50678","0R0","1%","75V","0.0625W max. 2A","Z0603","0603","","Automat","","Fitted"
"R22","MÏniË +5V/-5V","50558","10K","1%","75V","0.0625W","Z0603","0603","","Automat","","Fitted"
"R23","MÏniË +5V/-5V","50559","1K0","1%","75V","0.0625W","Z0603","0603","","Automat","","Fitted"
"R24","","50678","0R0","1%","75V","0.0625W max. 2A","Z0603","0603","","Automat","","Fitted"
"R25","","50678","0R0","1%","75V","0.0625W max. 2A","Z0603","0603","","Automat","","Fitted"
"R26","Proud I1","50678","0R0","1%","75V","0.0625W max. 2A","Z0603","0603","","Automat","","Fitted"
"R27","Proud I1","50678","0R0","1%","75V","0.0625W max. 2A","Z0603","0603","","Automat","","Fitted"
"R28","Proud I1","50678","0R0","1%","75V","0.0625W max. 2A","Z0603","0603","","Automat","","Fitted"
"R30","Proud I1","50678","*0R0","1%","75V","0.0625W max. 2A","Z0603","0603","","Neosadit","","Not Fitted"
"R31","Proud I2","50709","56R","1%","75V","","Z0603","0603","","Automat","","Fitted"
"R32","Proud I1","50678","0R0","1%","75V","0.0625W max. 2A","Z0603","0603","","Automat","","Fitted"
"R33","Proud I1","24038","NU 0603","1%","75V","0.0625W","Z0603","0603","","Neosadit","","Fitted"
"R34","Proud I2","24038","NU 0603","1%","75V","0.0625W","Z0603","0603","","Neosadit","","Fitted"
"R35","Proud I3","24038","NU 0603","1%","75V","0.0625W","Z0603","0603","","Neosadit","","Fitted"
"V1","Proud I1","52330","*CPDUC1V8HT-HF","","1V8/2V3/8V","160W Bi 0.1uA","ZSOD523F","SOD523F-2","CPDUC1V8HT-HF","Neosadit","","Not Fitted"
"V2","Proud I1","52330","*CPDUC1V8HT-HF","","1V8/2V3/8V","160W Bi 0.1uA","ZSOD523F","SOD523F-2","CPDUC1V8HT-HF","Neosadit","","Not Fitted"
"V3","Proud I1","52330","*CPDUC1V8HT-HF","","1V8/2V3/8V","160W Bi 0.1uA","ZSOD523F","SOD523F-2","CPDUC1V8HT-HF","Neosadit","","Not Fitted"
"V4","MÏniË +5V/-5V","53010","BSH108","","Uds=30V,Ugs=20V","0.83W, Ic=1.2A","ZSOT23","SOT23","","Automat","","Fitted"
"V5","L3 - Napeti","52063","BAT54BRW","","30V @1V","200mA","ZSOT363","SOT363","BAT54BRW","Automat","","Fitted"
"V6","L3 - Napeti","52063","BAT54BRW","","30V @1V","200mA","ZSOT363","SOT363","BAT54BRW","Automat","","Fitted"
"X1","Proud I1","90058","*Dira 1,2mm","","","","HOLE_012_P_020x015","d=2/1,5 mm","","Neosadit","","Fitted"
"X2","Proud I1","90058","*Dira 1,2mm","","","","HOLE_012_P_020x015","d=2/1,5 mm","","Neosadit","","Fitted"
"X3","Proud I2","90058","*Dira 1,2mm","","","","HOLE_012_P_020x015","d=2/1,5 mm","","Neosadit","","Fitted"
"X4","Proud I2","90058","*Dira 1,2mm","","","","HOLE_012_P_020x015","d=2/1,5 mm","","Neosadit","","Fitted"
"X5","Proud I3","90058","*Dira 1,2mm","","","","HOLE_012_P_020x015","d=2/1,5 mm","","Neosadit","","Fitted"
"X6","Proud I3","90058","*Dira 1,2mm","","","","HOLE_012_P_020x015","d=2/1,5 mm","","Neosadit","","Fitted"
"X7","","81250","RJLSE4238101","","","","RJLSE4238101","RJ45","","Automat","","Fitted"
"X8","","90034","*Dira 1.2 mm","","","","HOLE_012_P_022","d=1.2/2.2 mm","","Neosadit","","Fitted"
"X9","","90034","*Dira 1.2 mm","","","","HOLE_012_P_022","d=1.2/2.2 mm","","Neosadit","","Fitted"
"X10","","90034","*Dira 1.2 mm","","","","HOLE_012_P_022","d=1.2/2.2 mm","","Neosadit","","Fitted"
